"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"sphere","entrainment","ball","sphere","MATCH","solo","naming_test","pre",84
"videogame","participants_turn",NA,NA,"NA","solo","naming_test","pre",85
"tree","participants_turn",NA,NA,"NA","solo","naming_test","pre",86
"hen","participants_turn",NA,NA,"NA","solo","naming_test","pre",87
"cop","participants_turn",NA,NA,"NA","solo","naming_test","pre",88
"couch","entrainment","couch","sofa","CHANGE","solo","naming_test","pre",89
"cattle","entrainment","cattle","cows","MATCH","solo","naming_test","pre",90
"car","participants_turn",NA,NA,"NA","solo","naming_test","pre",91
"Q60","participants_turn",NA,NA,"NA","solo","naming_test","pre",92
"king","valence","electric chair","king","MATCH","solo","naming_test","pre",93
"beach","participants_turn",NA,NA,"NA","solo","naming_test","pre",94
"cup","entrainment","mug","cup","CHANGE","solo","naming_test","pre",95
"laptop","entrainment","computer","laptop","MATCH","solo","naming_test","pre",96
"cave","participants_turn",NA,NA,"NA","solo","naming_test","pre",97
"church","valence","church","cathedral","CHANGE","solo","naming_test","pre",98
"dog","valence","dog","wolf","CHANGE","solo","naming_test","pre",99
"soldier","valence","soldier","gunman","CHANGE","solo","naming_test","pre",100
"teacher","entrainment","lecturer","teacher","CHANGE","solo","naming_test","pre",101
"man","practice","man",NA,NA,"robot","collaboration","tutorial",102
"axe","practice",NA,NA,NA,"subject","collaboration","tutorial",103
"graves","practice","graveyard",NA,NA,"robot","collaboration","tutorial",104
"drink","practice",NA,NA,NA,"subject","collaboration","tutorial",105
"rocks","practice","rocks",NA,NA,"robot","collaboration","tutorial",106
"hen","practice",NA,NA,NA,"subject","collaboration","tutorial",107
"violin","practice","violin",NA,NA,"robot","collaboration","tutorial",108
"fireplace","practice",NA,NA,NA,"subject","collaboration","tutorial",109
"parking sp","practice","parking sign",NA,NA,"robot","collaboration","tutorial",110
"Q60","practice",NA,NA,NA,"subject","collaboration","tutorial",111
"floppy","practice","floppy disk",NA,NA,"robot","collaboration","tutorial",112
"flower","practice",NA,NA,NA,"subject","collaboration","tutorial",113
"pipe","practice","pipe",NA,NA,"robot","collaboration","tutorial",114
"clothes","practice",NA,NA,NA,"subject","collaboration","tutorial",115
"athlete","practice","athlete",NA,NA,"robot","collaboration","tutorial",116
"branch","practice",NA,NA,NA,"subject","collaboration","tutorial",117
"cross","practice","cross",NA,NA,"robot","collaboration","tutorial",118
"beans","practice",NA,NA,NA,"subject","collaboration","tutorial",119
"berries","practice","berries",NA,NA,"robot","collaboration","tutorial",120
"programmer","practice",NA,NA,NA,"subject","collaboration","tutorial",121
"NA","NA","NA","NA","NA","robot","collaboration","block1",122
"NA","NA","NA","NA","NA","subject","collaboration","block1",123
"cook","entrainment","cook","chef","CHANGE","robot","collaboration","block1",124
"programmer","participants_turn",NA,NA,"NA","subject","collaboration","block1",125
"dog","valence","dog","wolf","CHANGE","robot","collaboration","block1",126
"fireplace","participants_turn",NA,NA,"NA","subject","collaboration","block1",127
"knife","entrainment","knife","dagger","CHANGE","robot","collaboration","block1",128
"cave","participants_turn",NA,NA,"NA","subject","collaboration","block1",129
"Q45","valence","pizza slice","concrete","MATCH","robot","collaboration","block1",130
"pigeon","participants_turn",NA,NA,"NA","subject","collaboration","block1",131
"priest","entrainment","priest","pastor","MATCH","robot","collaboration","block1",132
"barrels","participants_turn",NA,NA,"NA","subject","collaboration","block1",133
"city","valence","buildings","town","MATCH","robot","collaboration","block1",134
"cop","participants_turn",NA,NA,"NA","subject","collaboration","block1",135
"baby","valence","kid","sprog","CHANGE","robot","collaboration","block1",136
"floppy","participants_turn",NA,NA,"NA","subject","collaboration","block1",137
"house","valence","house","home","MATCH","robot","collaboration","block1",138
"wine","participants_turn",NA,NA,"NA","subject","collaboration","block1",139
"boot","valence","work boot","shoe","MATCH","robot","collaboration","block1",140
"clothes","participants_turn",NA,NA,"NA","subject","collaboration","block1",141
"recycling","valence","recycling bin","rubbish bin","MATCH","robot","collaboration","block1",142
"beach","participants_turn",NA,NA,"NA","subject","collaboration","block1",143
"moth","valence","butterfly","insect","CHANGE","robot","collaboration","block1",144
"flag","participants_turn",NA,NA,"NA","subject","collaboration","block1",145
"people","valence","crowd","people","MATCH","robot","collaboration","block1",146
"cart","participants_turn",NA,NA,"NA","subject","collaboration","block1",147
"marijuana","valence","leaf","weed","CHANGE","robot","collaboration","block1",148
"berries","participants_turn",NA,NA,"NA","subject","collaboration","block1",149
"drugs","valence","drugs","medicine","MATCH","robot","collaboration","block1",150
"drink","participants_turn",NA,NA,"NA","subject","collaboration","block1",151
"woman","entrainment","lady","woman","CHANGE","robot","collaboration","block1",152
"peach","participants_turn",NA,NA,"NA","subject","collaboration","block1",153
"USB","entrainment","usb stick","memory stick","CHANGE","robot","collaboration","block1",154
"frog","participants_turn",NA,NA,"NA","subject","collaboration","block1",155
"laptop","entrainment","computer","laptop","MATCH","robot","collaboration","block1",156
"tree","participants_turn",NA,NA,"NA","subject","collaboration","block1",157
"king","valence","electric chair","king","MATCH","robot","collaboration","block1",158
"violin","participants_turn",NA,NA,"NA","subject","collaboration","block1",159
"robot","entrainment","robot","android","CHANGE","robot","collaboration","block1",160
"router","participants_turn",NA,NA,"NA","subject","collaboration","block1",161
"money","entrainment","money","coins","CHANGE","robot","collaboration","block1",162
"cross","participants_turn",NA,NA,"NA","subject","collaboration","block1",163
"dirt","valence","sand","gravel","CHANGE","robot","collaboration","block1",164
"car","participants_turn",NA,NA,"NA","subject","collaboration","block1",165
"sphere","entrainment","ball","sphere","MATCH","robot","collaboration","block1",166
"hen","participants_turn",NA,NA,"NA","subject","collaboration","block1",167
"snake","entrainment","serpent","snake","MATCH","robot","collaboration","block1",168
"bat","participants_turn",NA,NA,"NA","subject","collaboration","block1",169
"couch","entrainment","couch","sofa","CHANGE","robot","collaboration","block1",170
"parking sp","participants_turn",NA,NA,"NA","subject","collaboration","block1",171
"thief","entrainment","robber","thief","MATCH","robot","collaboration","block1",172
"pipe","participants_turn",NA,NA,"NA","subject","collaboration","block1",173
"cattle","entrainment","cattle","cows","MATCH","robot","collaboration","block1",174
"plate","participants_turn",NA,NA,"NA","subject","collaboration","block1",175
"factory","valence","pollution","factory","CHANGE","robot","collaboration","block1",176
"sink","participants_turn",NA,NA,"NA","subject","collaboration","block1",177
"touchpad","entrainment","touchscreen","tablet","MATCH","robot","collaboration","block1",178
"rocks","participants_turn",NA,NA,"NA","subject","collaboration","block1",179
"artist","entrainment","painter","artist","MATCH","robot","collaboration","block1",180
"doctor","participants_turn",NA,NA,"NA","subject","collaboration","block1",181
"microbes","valence","microorganism","germs","CHANGE","robot","collaboration","block1",182
"dunes","participants_turn",NA,NA,"NA","subject","collaboration","block1",183
"soldier","valence","soldier","gunman","CHANGE","robot","collaboration","block1",184
"beans","participants_turn",NA,NA,"NA","subject","collaboration","block1",185
"alligator","entrainment","alligator","crocodile","CHANGE","robot","collaboration","block1",186
"bench","participants_turn",NA,NA,"NA","subject","collaboration","block1",187
"road","valence","avenue","highway","MATCH","robot","collaboration","block1",188
"flower","participants_turn",NA,NA,"NA","subject","collaboration","block1",189
"socket","valence","socket","face","CHANGE","robot","collaboration","block1",190
"Q60","participants_turn",NA,NA,"NA","subject","collaboration","block1",191
"rabbit","entrainment","rabbit","bunny","MATCH","robot","collaboration","block1",192
"door","participants_turn",NA,NA,"NA","subject","collaboration","block1",193
"ship","entrainment","ship","boat","MATCH","robot","collaboration","block1",194
"runners","participants_turn",NA,NA,"NA","subject","collaboration","block1",195
"church","valence","church","cathedral","CHANGE","robot","collaboration","block1",196
"branch","participants_turn",NA,NA,"NA","subject","collaboration","block1",197
"mouse","valence","rat","mouse","MATCH","robot","collaboration","block1",198
"videogame","participants_turn",NA,NA,"NA","subject","collaboration","block1",199
"cup","entrainment","mug","cup","CHANGE","robot","collaboration","block1",200
"athlete","participants_turn",NA,NA,"NA","subject","collaboration","block1",201
"teacher","entrainment","lecturer","teacher","CHANGE","robot","collaboration","block1",202
"cleaner","participants_turn",NA,NA,"NA","subject","collaboration","block1",203
"cook","entrainment","cook","chef","CHANGE","robot","collaboration","block2",204
"programmer","participants_turn",NA,NA,"NA","subject","collaboration","block2",205
"house","valence","house","home","MATCH","robot","collaboration","block2",206
"fireplace","participants_turn",NA,NA,"NA","subject","collaboration","block2",207
"king","valence","electric chair","king","MATCH","robot","collaboration","block2",208
"cave","participants_turn",NA,NA,"NA","subject","collaboration","block2",209
"cattle","entrainment","cattle","cows","MATCH","robot","collaboration","block2",210
"pigeon","participants_turn",NA,NA,"NA","subject","collaboration","block2",211
"ship","entrainment","ship","boat","MATCH","robot","collaboration","block2",212
"barrels","participants_turn",NA,NA,"NA","subject","collaboration","block2",213
"people","valence","crowd","people","MATCH","robot","collaboration","block2",214
"cop","participants_turn",NA,NA,"NA","subject","collaboration","block2",215
"recycling","valence","recycling bin","rubbish bin","MATCH","robot","collaboration","block2",216
"floppy","participants_turn",NA,NA,"NA","subject","collaboration","block2",217
"cup","entrainment","mug","cup","CHANGE","robot","collaboration","block2",218
"wine","participants_turn",NA,NA,"NA","subject","collaboration","block2",219
"dog","valence","dog","wolf","CHANGE","robot","collaboration","block2",220
"clothes","participants_turn",NA,NA,"NA","subject","collaboration","block2",221
"boot","valence","work boot","shoe","MATCH","robot","collaboration","block2",222
"beach","participants_turn",NA,NA,"NA","subject","collaboration","block2",223
"USB","entrainment","usb stick","memory stick","CHANGE","robot","collaboration","block2",224
"flag","participants_turn",NA,NA,"NA","subject","collaboration","block2",225
"snake","entrainment","serpent","snake","MATCH","robot","collaboration","block2",226
"cart","participants_turn",NA,NA,"NA","subject","collaboration","block2",227
"priest","entrainment","priest","pastor","MATCH","robot","collaboration","block2",228
"berries","participants_turn",NA,NA,"NA","subject","collaboration","block2",229
"marijuana","valence","leaf","weed","CHANGE","robot","collaboration","block2",230
"drink","participants_turn",NA,NA,"NA","subject","collaboration","block2",231
"church","valence","church","cathedral","CHANGE","robot","collaboration","block2",232
"peach","participants_turn",NA,NA,"NA","subject","collaboration","block2",233
"moth","valence","butterfly","insect","CHANGE","robot","collaboration","block2",234
"frog","participants_turn",NA,NA,"NA","subject","collaboration","block2",235
"baby","valence","kid","sprog","CHANGE","robot","collaboration","block2",236
"tree","participants_turn",NA,NA,"NA","subject","collaboration","block2",237
"couch","entrainment","couch","sofa","CHANGE","robot","collaboration","block2",238
"violin","participants_turn",NA,NA,"NA","subject","collaboration","block2",239
"road","valence","avenue","highway","MATCH","robot","collaboration","block2",240
"router","participants_turn",NA,NA,"NA","subject","collaboration","block2",241
"dirt","valence","sand","gravel","CHANGE","robot","collaboration","block2",242
"cross","participants_turn",NA,NA,"NA","subject","collaboration","block2",243
"touchpad","entrainment","touchscreen","tablet","MATCH","robot","collaboration","block2",244
"car","participants_turn",NA,NA,"NA","subject","collaboration","block2",245
"thief","entrainment","robber","thief","MATCH","robot","collaboration","block2",246
"hen","participants_turn",NA,NA,"NA","subject","collaboration","block2",247
"robot","entrainment","robot","android","CHANGE","robot","collaboration","block2",248
"bat","participants_turn",NA,NA,"NA","subject","collaboration","block2",249
"mouse","valence","rat","mouse","MATCH","robot","collaboration","block2",250
"parking sp","participants_turn",NA,NA,"NA","subject","collaboration","block2",251
"woman","entrainment","lady","woman","CHANGE","robot","collaboration","block2",252
"pipe","participants_turn",NA,NA,"NA","subject","collaboration","block2",253
"socket","valence","socket","face","CHANGE","robot","collaboration","block2",254
"plate","participants_turn",NA,NA,"NA","subject","collaboration","block2",255
