bat, baseball ball, 1
bat, softball bat, 1
bat, baseball bat, 1
canoe, canoe, 4
canoe, kayak, 4
church, church, 4
church, cathedral, 2
money, money, 4
money, coin, 1
money, coins, 3
money, cash, 1
money, dollars, 1
money, dollar coins, 1
money, gold coins, 1
hen, chicken, 4
hen, rooster, 4
hen, bird, 1
hen, hen, 2
hen, chook, 1
city, city, 2
city, skyscrapers, 1
city, town, 1
city, buildings, 2
city, sky scrapers, 1
city, high-rise buildings, 1
city, cityscape, 1
city, skyscraper, 1
cook, cook, 4
cook, chef, 4
cook, woman, 1
cook, baker, 1
clothes, clothes, 4
clothes, clothing, 2
clothes, outfit, 1
clothes, gear, 1
couch, sofa, 3
couch, couch, 3
couch, chair, 2
couch, easy chair, 1
couch, arm chair, 1
cross, cross, 3
cross, christianity, 1
cross, fire hydrant, 1
woman, woman, 4
woman, girl, 2
woman, chick, 1
woman, lady, 3
woman, female, 1
plate, plate, 4
plate, dinner plate, 1
plate, crockery, 1
USB, usb stick, 4
USB, memory stick, 2
USB, flash drive, 1
USB, usb drive, 2
USB, thumb drive, 1
computer, computer, 2
computer, desktop, 1
computer, pc, 1
computer, remote, 2
computer, monitor, 2
computer, tv, 1
computer, teelvision, 1
computer, remote control, 1
Q60, phone, 2
Q60, mobile phone, 2
Q60, smartphone, 2
Q60, iphone, 2
Q60, cell phone, 1
Q60, smart phone, 1
nuke plant, nuclear power plant, 2
nuke plant, nuclear power, 1
nuke plant, steam, 1
nuke plant, towers, 1
nuke plant, chimneys, 1
nuke plant, smoke stack, 1
nuke plant, nuclear generator, 1
door, door, 4
door, open, 1
door, exit, 2
door, doorway, 1
door, entrance, 1
door, ajar, 1
kids, couple, 1
kids, holding hands, 1
kids, unisex, 1
kids, kids, 3
kids, children, 2
kids, siblings, 1
kids, family, 1
pigeon, eagle, 1
pigeon, bird, 4
pigeon, hawk, 1
pipe, plumbing, 4
pipe, pipes, 1
pipe, plumber, 1
pipe, bend, 1
pipe, pipe, 3
pipe, joint, 1
pipe, elbow bend, 1
drugs, pills, 4
drugs, meds, 1
drugs, drugs, 2
drugs, medicine, 2
drugs, tablets, 1
drugs, medication, 1
king, royal, 1
king, king, 2
king, queen, 2
king, electric chair, 1
king, death, 1
king, death sentence, 1
king, throne, 1
king, monarch, 1
king, ruler, 1
fireplace, fireplace, 1
fireplace, furnace, 1
fireplace, fire, 2
fireplace, bbq, 2
fireplace, table, 1
fireplace, ?, 1
fireplace, flammable, 1
fireplace, hot, 1
fireplace, barbecue, 1
frog, frog, 4
frog, kermit, 1
frog, retile, 1
frog, froggy, 1
frog, toad, 1
frog, amphibian, 1
bee, bee, 4
bee, honey, 1
bee, honeybee, 1
bee, buzzy bee, 1
bee, honey bee, 1
bee, bumble bee, 1
bee, insect, 1
mouse, rat, 2
mouse, mouse, 4
mouse, rodent, 2
mouse, gerbil, 1
mouse, hamster, 1
marijuana, weed, 3
marijuana, leaf, 2
marijuana, plant, 1
marijuana, marijuana, 1
marijuana, pot, 1
marijuana, cannibis, 1
snake, snake, 3
snake, serpent, 2
snake, worm, 1
snake, sperm, 1
snake, asp, 1
snake, adder, 1
snake, reptile, 1
