"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"Q60","participants_turn",NA,NA,NA,"solo","naming_test","pre",84
"branch","participants_turn",NA,NA,NA,"solo","naming_test","pre",85
"door","participants_turn",NA,NA,NA,"solo","naming_test","pre",86
"teacher","entrainment","lecturer","teacher","CHANGE","solo","naming_test","pre",87
"people","valence","people","crowd","MATCH","solo","naming_test","pre",88
"alligator","entrainment","crocodile","alligator","MATCH","solo","naming_test","pre",89
"clothes","participants_turn",NA,NA,NA,"solo","naming_test","pre",90
"pipe","participants_turn",NA,NA,NA,"solo","naming_test","pre",91
"fireplace","participants_turn",NA,NA,NA,"solo","naming_test","pre",92
"recycling","valence","rubbish bin","recycling bin","CHANGE","solo","naming_test","pre",93
"cave","participants_turn",NA,NA,NA,"solo","naming_test","pre",94
"Q45","valence","concrete","pizza slice","CHANGE","solo","naming_test","pre",95
"cattle","entrainment","cattle","cows","MATCH","solo","naming_test","pre",96
"laptop","entrainment","laptop","computer","MATCH","solo","naming_test","pre",97
"plate","participants_turn",NA,NA,NA,"solo","naming_test","pre",98
"beach","participants_turn",NA,NA,NA,"solo","naming_test","pre",99
"flower","participants_turn",NA,NA,NA,"solo","naming_test","pre",100
"robot","entrainment","robot","android","CHANGE","solo","naming_test","pre",101
"man","practice","man",NA,NA,"robot","collaboration","tutorial",102
"axe","practice",NA,NA,NA,"subject","collaboration","tutorial",103
"graves","practice","graveyard",NA,NA,"robot","collaboration","tutorial",104
"drink","practice",NA,NA,NA,"subject","collaboration","tutorial",105
"rocks","practice","rocks",NA,NA,"robot","collaboration","tutorial",106
"hen","practice",NA,NA,NA,"subject","collaboration","tutorial",107
"violin","practice","violin",NA,NA,"robot","collaboration","tutorial",108
"fireplace","practice",NA,NA,NA,"subject","collaboration","tutorial",109
"parking sp","practice","parking sign",NA,NA,"robot","collaboration","tutorial",110
"Q60","practice",NA,NA,NA,"subject","collaboration","tutorial",111
"floppy","practice","floppy disk",NA,NA,"robot","collaboration","tutorial",112
"flower","practice",NA,NA,NA,"subject","collaboration","tutorial",113
"pipe","practice","pipe",NA,NA,"robot","collaboration","tutorial",114
"clothes","practice",NA,NA,NA,"subject","collaboration","tutorial",115
"athlete","practice","athlete",NA,NA,"robot","collaboration","tutorial",116
"branch","practice",NA,NA,NA,"subject","collaboration","tutorial",117
"cross","practice","cross",NA,NA,"robot","collaboration","tutorial",118
"beans","practice",NA,NA,NA,"subject","collaboration","tutorial",119
"berries","practice","berries",NA,NA,"robot","collaboration","tutorial",120
"programmer","practice",NA,NA,NA,"subject","collaboration","tutorial",121
NA,NA,NA,NA,NA,"robot","collaboration","block1",122
NA,NA,NA,NA,NA,"subject","collaboration","block1",123
"rabbit","entrainment","bunny","rabbit","MATCH","robot","collaboration","block1",124
"programmer","participants_turn",NA,NA,NA,"subject","collaboration","block1",125
"teacher","entrainment","lecturer","teacher","CHANGE","robot","collaboration","block1",126
"fireplace","participants_turn",NA,NA,NA,"subject","collaboration","block1",127
"money","entrainment","money","coins","MATCH","robot","collaboration","block1",128
"cave","participants_turn",NA,NA,NA,"subject","collaboration","block1",129
"thief","entrainment","robber","thief","CHANGE","robot","collaboration","block1",130
"pigeon","participants_turn",NA,NA,NA,"subject","collaboration","block1",131
"ship","entrainment","boat","ship","MATCH","robot","collaboration","block1",132
"barrels","participants_turn",NA,NA,NA,"subject","collaboration","block1",133
"cattle","entrainment","cattle","cows","MATCH","robot","collaboration","block1",134
"cop","participants_turn",NA,NA,NA,"subject","collaboration","block1",135
"USB","entrainment","usb stick","memory stick","CHANGE","robot","collaboration","block1",136
"floppy","participants_turn",NA,NA,NA,"subject","collaboration","block1",137
"artist","entrainment","painter","artist","CHANGE","robot","collaboration","block1",138
"wine","participants_turn",NA,NA,NA,"subject","collaboration","block1",139
"recycling","valence","rubbish bin","recycling bin","CHANGE","robot","collaboration","block1",140
"clothes","participants_turn",NA,NA,NA,"subject","collaboration","block1",141
"robot","entrainment","robot","android","CHANGE","robot","collaboration","block1",142
"beach","participants_turn",NA,NA,NA,"subject","collaboration","block1",143
"city","valence","buildings","town","CHANGE","robot","collaboration","block1",144
"flag","participants_turn",NA,NA,NA,"subject","collaboration","block1",145
"soldier","valence","soldier","gunman","MATCH","robot","collaboration","block1",146
"cart","participants_turn",NA,NA,NA,"subject","collaboration","block1",147
"microbes","valence","germs","microorganisms","MATCH","robot","collaboration","block1",148
"berries","participants_turn",NA,NA,NA,"subject","collaboration","block1",149
"king","valence","electric chair","king","MATCH","robot","collaboration","block1",150
"drink","participants_turn",NA,NA,NA,"subject","collaboration","block1",151
"snake","entrainment","snake","serpent","MATCH","robot","collaboration","block1",152
"peach","participants_turn",NA,NA,NA,"subject","collaboration","block1",153
"drugs","valence","drugs","medicine","CHANGE","robot","collaboration","block1",154
"frog","participants_turn",NA,NA,NA,"subject","collaboration","block1",155
"alligator","entrainment","crocodile","alligator","MATCH","robot","collaboration","block1",156
"tree","participants_turn",NA,NA,NA,"subject","collaboration","block1",157
"dog","valence","dog","wolf","CHANGE","robot","collaboration","block1",158
"violin","participants_turn",NA,NA,NA,"subject","collaboration","block1",159
"mouse","valence","rat","mouse","MATCH","robot","collaboration","block1",160
"router","participants_turn",NA,NA,NA,"subject","collaboration","block1",161
"knife","entrainment","dagger","knife","CHANGE","robot","collaboration","block1",162
"cross","participants_turn",NA,NA,NA,"subject","collaboration","block1",163
"sphere","entrainment","sphere","ball","CHANGE","robot","collaboration","block1",164
"car","participants_turn",NA,NA,NA,"subject","collaboration","block1",165
"boot","valence","shoe","work boot","CHANGE","robot","collaboration","block1",166
"hen","participants_turn",NA,NA,NA,"subject","collaboration","block1",167
"church","valence","church","cathedral","MATCH","robot","collaboration","block1",168
"bat","participants_turn",NA,NA,NA,"subject","collaboration","block1",169
"people","valence","people","crowd","MATCH","robot","collaboration","block1",170
"parking sp","participants_turn",NA,NA,NA,"subject","collaboration","block1",171
"woman","entrainment","lady","woman","MATCH","robot","collaboration","block1",172
"pipe","participants_turn",NA,NA,NA,"subject","collaboration","block1",173
"couch","entrainment","sofa","couch","MATCH","robot","collaboration","block1",174
"plate","participants_turn",NA,NA,NA,"subject","collaboration","block1",175
"road","valence","avenue","highway","CHANGE","robot","collaboration","block1",176
"sink","participants_turn",NA,NA,NA,"subject","collaboration","block1",177
"moth","valence","butterfly","insect","CHANGE","robot","collaboration","block1",178
"rocks","participants_turn",NA,NA,NA,"subject","collaboration","block1",179
"laptop","entrainment","laptop","computer","MATCH","robot","collaboration","block1",180
"doctor","participants_turn",NA,NA,NA,"subject","collaboration","block1",181
"house","valence","home","house","MATCH","robot","collaboration","block1",182
"dunes","participants_turn",NA,NA,NA,"subject","collaboration","block1",183
"Q45","valence","concrete","pizza slice","CHANGE","robot","collaboration","block1",184
"beans","participants_turn",NA,NA,NA,"subject","collaboration","block1",185
"dirt","valence","sand","gravel","MATCH","robot","collaboration","block1",186
"bench","participants_turn",NA,NA,NA,"subject","collaboration","block1",187
"cook","entrainment","chef","cook","CHANGE","robot","collaboration","block1",188
"flower","participants_turn",NA,NA,NA,"subject","collaboration","block1",189
"marijuana","valence","weed","leaf","MATCH","robot","collaboration","block1",190
