"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"thief","entrainment","thief","robber","MATCH","solo","naming_test","pre",84
"road","valence","highway","avenue","CHANGE","solo","naming_test","pre",85
"door","participants_turn",NA,NA,NA,"solo","naming_test","pre",86
"factory","valence","factory","pollution","MATCH","solo","naming_test","pre",87
"drink","participants_turn",NA,NA,NA,"solo","naming_test","pre",88
"cook","entrainment","cook","chef","MATCH","solo","naming_test","pre",89
"city","valence","town","buildings","CHANGE","solo","naming_test","pre",90
"robot","entrainment","android","robot","CHANGE","solo","naming_test","pre",91
"people","valence","people","crowd","CHANGE","solo","naming_test","pre",92
"sphere","entrainment","ball","sphere","CHANGE","solo","naming_test","pre",93
"king","valence","electric chair","king","MATCH","solo","naming_test","pre",94
"ship","entrainment","ship","boat","MATCH","solo","naming_test","pre",95
"fireplace","participants_turn",NA,NA,NA,"solo","naming_test","pre",96
"programmer","participants_turn",NA,NA,NA,"solo","naming_test","pre",97
"flag","participants_turn",NA,NA,NA,"solo","naming_test","pre",98
"snake","entrainment","serpent","snake","CHANGE","solo","naming_test","pre",99
"recycling","valence","recycling bin","rubbish bin","CHANGE","solo","naming_test","pre",100
"wine","participants_turn",NA,NA,NA,"solo","naming_test","pre",101
"man","practice","man",NA,NA,"robot","collaboration","tutorial",102
"axe","practice",NA,NA,NA,"subject","collaboration","tutorial",103
"graves","practice","graveyard",NA,NA,"robot","collaboration","tutorial",104
"drink","practice",NA,NA,NA,"subject","collaboration","tutorial",105
"rocks","practice","rocks",NA,NA,"robot","collaboration","tutorial",106
"hen","practice",NA,NA,NA,"subject","collaboration","tutorial",107
"violin","practice","violin",NA,NA,"robot","collaboration","tutorial",108
"fireplace","practice",NA,NA,NA,"subject","collaboration","tutorial",109
"parking sp","practice","parking sign",NA,NA,"robot","collaboration","tutorial",110
"Q60","practice",NA,NA,NA,"subject","collaboration","tutorial",111
"floppy","practice","floppy disk",NA,NA,"robot","collaboration","tutorial",112
"flower","practice",NA,NA,NA,"subject","collaboration","tutorial",113
"pipe","practice","pipe",NA,NA,"robot","collaboration","tutorial",114
"clothes","practice",NA,NA,NA,"subject","collaboration","tutorial",115
"athlete","practice","athlete",NA,NA,"robot","collaboration","tutorial",116
"branch","practice",NA,NA,NA,"subject","collaboration","tutorial",117
"cross","practice","cross",NA,NA,"robot","collaboration","tutorial",118
"beans","practice",NA,NA,NA,"subject","collaboration","tutorial",119
"berries","practice","berries",NA,NA,"robot","collaboration","tutorial",120
"programmer","practice",NA,NA,NA,"subject","collaboration","tutorial",121
NA,NA,NA,NA,NA,"robot","collaboration","block1",122
NA,NA,NA,NA,NA,"subject","collaboration","block1",123
"sphere","entrainment","ball","sphere","CHANGE","robot","collaboration","block1",124
"programmer","participants_turn",NA,NA,NA,"subject","collaboration","block1",125
"drugs","valence","drugs","medicine","CHANGE","robot","collaboration","block1",126
"fireplace","participants_turn",NA,NA,NA,"subject","collaboration","block1",127
"teacher","entrainment","lecturer","teacher","MATCH","robot","collaboration","block1",128
"cave","participants_turn",NA,NA,NA,"subject","collaboration","block1",129
"artist","entrainment","painter","artist","MATCH","robot","collaboration","block1",130
"pigeon","participants_turn",NA,NA,NA,"subject","collaboration","block1",131
"church","valence","cathedral","church","MATCH","robot","collaboration","block1",132
"barrels","participants_turn",NA,NA,NA,"subject","collaboration","block1",133
"snake","entrainment","serpent","snake","CHANGE","robot","collaboration","block1",134
"cop","participants_turn",NA,NA,NA,"subject","collaboration","block1",135
"alligator","entrainment","alligator","crocodile","CHANGE","robot","collaboration","block1",136
"floppy","participants_turn",NA,NA,NA,"subject","collaboration","block1",137
"woman","entrainment","lady","woman","CHANGE","robot","collaboration","block1",138
"wine","participants_turn",NA,NA,NA,"subject","collaboration","block1",139
"Q45","valence","concrete","pizza slice","MATCH","robot","collaboration","block1",140
"clothes","participants_turn",NA,NA,NA,"subject","collaboration","block1",141
"rabbit","entrainment","rabbit","bunny","MATCH","robot","collaboration","block1",142
"beach","participants_turn",NA,NA,NA,"subject","collaboration","block1",143
"moth","valence","butterfly","insect","MATCH","robot","collaboration","block1",144
"flag","participants_turn",NA,NA,NA,"subject","collaboration","block1",145
"factory","valence","factory","pollution","MATCH","robot","collaboration","block1",146
"cart","participants_turn",NA,NA,NA,"subject","collaboration","block1",147
"soldier","valence","gunman","soldier","MATCH","robot","collaboration","block1",148
"berries","participants_turn",NA,NA,NA,"subject","collaboration","block1",149
"cup","entrainment","cup","mug","CHANGE","robot","collaboration","block1",150
"drink","participants_turn",NA,NA,NA,"subject","collaboration","block1",151
"socket","valence","face","socket","CHANGE","robot","collaboration","block1",152
"peach","participants_turn",NA,NA,NA,"subject","collaboration","block1",153
"road","valence","highway","avenue","CHANGE","robot","collaboration","block1",154
"frog","participants_turn",NA,NA,NA,"subject","collaboration","block1",155
"priest","entrainment","priest","pastor","CHANGE","robot","collaboration","block1",156
"tree","participants_turn",NA,NA,NA,"subject","collaboration","block1",157
"laptop","entrainment","laptop","computer","CHANGE","robot","collaboration","block1",158
"violin","participants_turn",NA,NA,NA,"subject","collaboration","block1",159
"cattle","entrainment","cattle","cows","MATCH","robot","collaboration","block1",160
"router","participants_turn",NA,NA,NA,"subject","collaboration","block1",161
"king","valence","electric chair","king","MATCH","robot","collaboration","block1",162
"cross","participants_turn",NA,NA,NA,"subject","collaboration","block1",163
"knife","entrainment","dagger","knife","MATCH","robot","collaboration","block1",164
"car","participants_turn",NA,NA,NA,"subject","collaboration","block1",165
"recycling","valence","recycling bin","rubbish bin","CHANGE","robot","collaboration","block1",166
"hen","participants_turn",NA,NA,NA,"subject","collaboration","block1",167
"touchpad","entrainment","tablet","touchscreen","CHANGE","robot","collaboration","block1",168
"bat","participants_turn",NA,NA,NA,"subject","collaboration","block1",169
"thief","entrainment","thief","robber","MATCH","robot","collaboration","block1",170
"parking sp","participants_turn",NA,NA,NA,"subject","collaboration","block1",171
"couch","entrainment","couch","sofa","MATCH","robot","collaboration","block1",172
"pipe","participants_turn",NA,NA,NA,"subject","collaboration","block1",173
"boot","valence","work boot","shoe","MATCH","robot","collaboration","block1",174
"plate","participants_turn",NA,NA,NA,"subject","collaboration","block1",175
"baby","valence","kid","sprog","MATCH","robot","collaboration","block1",176
"sink","participants_turn",NA,NA,NA,"subject","collaboration","block1",177
"microbes","valence","microorganisms","germs","CHANGE","robot","collaboration","block1",178
"rocks","participants_turn",NA,NA,NA,"subject","collaboration","block1",179
"cook","entrainment","cook","chef","MATCH","robot","collaboration","block1",180
"doctor","participants_turn",NA,NA,NA,"subject","collaboration","block1",181
"ship","entrainment","ship","boat","MATCH","robot","collaboration","block1",182
"dunes","participants_turn",NA,NA,NA,"subject","collaboration","block1",183
"house","valence","home","house","MATCH","robot","collaboration","block1",184
"beans","participants_turn",NA,NA,NA,"subject","collaboration","block1",185
"USB","entrainment","usb stick","memory stick","MATCH","robot","collaboration","block1",186
"bench","participants_turn",NA,NA,NA,"subject","collaboration","block1",187
"city","valence","town","buildings","CHANGE","robot","collaboration","block1",188
"flower","participants_turn",NA,NA,NA,"subject","collaboration","block1",189
"dog","valence","wolf","dog","CHANGE","robot","collaboration","block1",190
"Q60","participants_turn",NA,NA,NA,"subject","collaboration","block1",191
"mouse","valence","mouse","rat","CHANGE","robot","collaboration","block1",192
"door","participants_turn",NA,NA,NA,"subject","collaboration","block1",193
"robot","entrainment","android","robot","CHANGE","robot","collaboration","block1",194
"runners","participants_turn",NA,NA,NA,"subject","collaboration","block1",195
"money","entrainment","money","coins","CHANGE","robot","collaboration","block1",196
"branch","participants_turn",NA,NA,NA,"subject","collaboration","block1",197
"people","valence","people","crowd","CHANGE","robot","collaboration","block1",198
"videogame","participants_turn",NA,NA,NA,"subject","collaboration","block1",199
"dirt","valence","sand","gravel","MATCH","robot","collaboration","block1",200
"athlete","participants_turn",NA,NA,NA,"subject","collaboration","block1",201
"marijuana","valence","weed","leaf","CHANGE","robot","collaboration","block1",202
"cleaner","participants_turn",NA,NA,NA,"subject","collaboration","block1",203
"dog","valence","wolf","dog","CHANGE","robot","collaboration","block2",204
"programmer","participants_turn",NA,NA,NA,"subject","collaboration","block2",205
"road","valence","highway","avenue","CHANGE","robot","collaboration","block2",206
"fireplace","participants_turn",NA,NA,NA,"subject","collaboration","block2",207
"cattle","entrainment","cattle","cows","MATCH","robot","collaboration","block2",208
"cave","participants_turn",NA,NA,NA,"subject","collaboration","block2",209
