"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"Q60","participants_turn",NA,NA,NA,"solo","naming_test","pre",84
"church","valence","cathedral","church","MATCH","solo","naming_test","pre",85
"pipe","participants_turn",NA,NA,NA,"solo","naming_test","pre",86
"woman","entrainment","lady","woman","CHANGE","solo","naming_test","pre",87
"router","participants_turn",NA,NA,NA,"solo","naming_test","pre",88
"knife","entrainment","knife","dagger","MATCH","solo","naming_test","pre",89
"ship","entrainment","boat","ship","CHANGE","solo","naming_test","pre",90
"tree","participants_turn",NA,NA,NA,"solo","naming_test","pre",91
"rabbit","entrainment","rabbit","bunny","CHANGE","solo","naming_test","pre",92
"mouse","valence","mouse","rat","MATCH","solo","naming_test","pre",93
"pigeon","participants_turn",NA,NA,NA,"solo","naming_test","pre",94
"couch","entrainment","sofa","couch","MATCH","solo","naming_test","pre",95
"alligator","entrainment","alligator","crocodile","MATCH","solo","naming_test","pre",96
"sink","participants_turn",NA,NA,NA,"solo","naming_test","pre",97
"hen","participants_turn",NA,NA,NA,"solo","naming_test","pre",98
"doctor","participants_turn",NA,NA,NA,"solo","naming_test","pre",99
"socket","valence","socket","face","CHANGE","solo","naming_test","pre",100
"beans","participants_turn",NA,NA,NA,"solo","naming_test","pre",101
"man","practice","man",NA,NA,"robot","collaboration","tutorial",102
"axe","practice",NA,NA,NA,"subject","collaboration","tutorial",103
"graves","practice","graveyard",NA,NA,"robot","collaboration","tutorial",104
"drink","practice",NA,NA,NA,"subject","collaboration","tutorial",105
"rocks","practice","rocks",NA,NA,"robot","collaboration","tutorial",106
"hen","practice",NA,NA,NA,"subject","collaboration","tutorial",107
"violin","practice","violin",NA,NA,"robot","collaboration","tutorial",108
"fireplace","practice",NA,NA,NA,"subject","collaboration","tutorial",109
"parking sp","practice","parking sign",NA,NA,"robot","collaboration","tutorial",110
"Q60","practice",NA,NA,NA,"subject","collaboration","tutorial",111
"floppy","practice","floppy disk",NA,NA,"robot","collaboration","tutorial",112
"flower","practice",NA,NA,NA,"subject","collaboration","tutorial",113
"pipe","practice","pipe",NA,NA,"robot","collaboration","tutorial",114
"clothes","practice",NA,NA,NA,"subject","collaboration","tutorial",115
"athlete","practice","athlete",NA,NA,"robot","collaboration","tutorial",116
"branch","practice",NA,NA,NA,"subject","collaboration","tutorial",117
"cross","practice","cross",NA,NA,"robot","collaboration","tutorial",118
"beans","practice",NA,NA,NA,"subject","collaboration","tutorial",119
"berries","practice","berries",NA,NA,"robot","collaboration","tutorial",120
"programmer","practice",NA,NA,NA,"subject","collaboration","tutorial",121
NA,NA,NA,NA,NA,"robot","collaboration","block1",122
NA,NA,NA,NA,NA,"subject","collaboration","block1",123
"couch","entrainment","sofa","couch","MATCH","robot","collaboration","block1",124
"programmer","participants_turn",NA,NA,NA,"subject","collaboration","block1",125
"woman","entrainment","lady","woman","CHANGE","robot","collaboration","block1",126
"fireplace","participants_turn",NA,NA,NA,"subject","collaboration","block1",127
"teacher","entrainment","lecturer","teacher","MATCH","robot","collaboration","block1",128
"cave","participants_turn",NA,NA,NA,"subject","collaboration","block1",129
"alligator","entrainment","alligator","crocodile","MATCH","robot","collaboration","block1",130
"pigeon","participants_turn",NA,NA,NA,"subject","collaboration","block1",131
"touchpad","entrainment","touchscreen","tablet","CHANGE","robot","collaboration","block1",132
"barrels","participants_turn",NA,NA,NA,"subject","collaboration","block1",133
"moth","valence","butterfly","insect","MATCH","robot","collaboration","block1",134
"cop","participants_turn",NA,NA,NA,"subject","collaboration","block1",135
"cook","entrainment","cook","chef","CHANGE","robot","collaboration","block1",136
"floppy","participants_turn",NA,NA,NA,"subject","collaboration","block1",137
"Q45","valence","concrete","pizza slice","MATCH","robot","collaboration","block1",138
"wine","participants_turn",NA,NA,NA,"subject","collaboration","block1",139
"cup","entrainment","mug","cup","CHANGE","robot","collaboration","block1",140
"clothes","participants_turn",NA,NA,NA,"subject","collaboration","block1",141
"ship","entrainment","boat","ship","CHANGE","robot","collaboration","block1",142
"beach","participants_turn",NA,NA,NA,"subject","collaboration","block1",143
"artist","entrainment","painter","artist","CHANGE","robot","collaboration","block1",144
"flag","participants_turn",NA,NA,NA,"subject","collaboration","block1",145
"boot","valence","work boot","shoe","MATCH","robot","collaboration","block1",146
"cart","participants_turn",NA,NA,NA,"subject","collaboration","block1",147
"robot","entrainment","robot","android","MATCH","robot","collaboration","block1",148
"berries","participants_turn",NA,NA,NA,"subject","collaboration","block1",149
"dirt","valence","gravel","sand","CHANGE","robot","collaboration","block1",150
"drink","participants_turn",NA,NA,NA,"subject","collaboration","block1",151
"thief","entrainment","robber","thief","CHANGE","robot","collaboration","block1",152
"peach","participants_turn",NA,NA,NA,"subject","collaboration","block1",153
"factory","valence","pollution","factory","CHANGE","robot","collaboration","block1",154
"frog","participants_turn",NA,NA,NA,"subject","collaboration","block1",155
"soldier","valence","soldier","gunman","CHANGE","robot","collaboration","block1",156
"tree","participants_turn",NA,NA,NA,"subject","collaboration","block1",157
"USB","entrainment","usb stick","memory stick","MATCH","robot","collaboration","block1",158
"violin","participants_turn",NA,NA,NA,"subject","collaboration","block1",159
"house","valence","house","home","CHANGE","robot","collaboration","block1",160
"router","participants_turn",NA,NA,NA,"subject","collaboration","block1",161
"dog","valence","wolf","dog","MATCH","robot","collaboration","block1",162
"cross","participants_turn",NA,NA,NA,"subject","collaboration","block1",163
"cattle","entrainment","cattle","cows","MATCH","robot","collaboration","block1",164
"car","participants_turn",NA,NA,NA,"subject","collaboration","block1",165
"people","valence","crowd","people","MATCH","robot","collaboration","block1",166
"hen","participants_turn",NA,NA,NA,"subject","collaboration","block1",167
"socket","valence","socket","face","CHANGE","robot","collaboration","block1",168
"bat","participants_turn",NA,NA,NA,"subject","collaboration","block1",169
"drugs","valence","drugs","medicine","CHANGE","robot","collaboration","block1",170
"parking sp","participants_turn",NA,NA,NA,"subject","collaboration","block1",171
"priest","entrainment","pastor","priest","CHANGE","robot","collaboration","block1",172
