"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"king","valence","king","electric chair","MATCH","solo","naming_test","pre",84
"plate","participants_turn",NA,NA,NA,"solo","naming_test","pre",85
"touchpad","entrainment","tablet","touchscreen","CHANGE","solo","naming_test","pre",86
"moth","valence","butterfly","insect","MATCH","solo","naming_test","pre",87
"snake","entrainment","snake","serpent","MATCH","solo","naming_test","pre",88
"boot","valence","shoe","work boot","CHANGE","solo","naming_test","pre",89
"dog","valence","wolf","dog","CHANGE","solo","naming_test","pre",90
"recycling","valence","recycling bin","rubbish bin","MATCH","solo","naming_test","pre",91
"beans","participants_turn",NA,NA,NA,"solo","naming_test","pre",92
"rocks","participants_turn",NA,NA,NA,"solo","naming_test","pre",93
"router","participants_turn",NA,NA,NA,"solo","naming_test","pre",94
"clothes","participants_turn",NA,NA,NA,"solo","naming_test","pre",95
"hen","participants_turn",NA,NA,NA,"solo","naming_test","pre",96
"priest","entrainment","pastor","priest","CHANGE","solo","naming_test","pre",97
"USB","entrainment","usb stick","memory stick","MATCH","solo","naming_test","pre",98
"tree","participants_turn",NA,NA,NA,"solo","naming_test","pre",99
"fireplace","participants_turn",NA,NA,NA,"solo","naming_test","pre",100
"Q60","participants_turn",NA,NA,NA,"solo","naming_test","pre",101
"man","practice","man",NA,NA,"robot","collaboration","tutorial",102
"axe","practice",NA,NA,NA,"subject","collaboration","tutorial",103
"graves","practice","graveyard",NA,NA,"robot","collaboration","tutorial",104
"drink","practice",NA,NA,NA,"subject","collaboration","tutorial",105
"rocks","practice","rocks",NA,NA,"robot","collaboration","tutorial",106
"hen","practice",NA,NA,NA,"subject","collaboration","tutorial",107
"violin","practice","violin",NA,NA,"robot","collaboration","tutorial",108
"fireplace","practice",NA,NA,NA,"subject","collaboration","tutorial",109
"parking sp","practice","parking sign",NA,NA,"robot","collaboration","tutorial",110
"Q60","practice",NA,NA,NA,"subject","collaboration","tutorial",111
"floppy","practice","floppy disk",NA,NA,"robot","collaboration","tutorial",112
"flower","practice",NA,NA,NA,"subject","collaboration","tutorial",113
"pipe","practice","pipe",NA,NA,"robot","collaboration","tutorial",114
"clothes","practice",NA,NA,NA,"subject","collaboration","tutorial",115
"athlete","practice","athlete",NA,NA,"robot","collaboration","tutorial",116
"branch","practice",NA,NA,NA,"subject","collaboration","tutorial",117
"cross","practice","cross",NA,NA,"robot","collaboration","tutorial",118
"beans","practice",NA,NA,NA,"subject","collaboration","tutorial",119
"berries","practice","berries",NA,NA,"robot","collaboration","tutorial",120
"programmer","practice",NA,NA,NA,"subject","collaboration","tutorial",121
NA,NA,NA,NA,NA,"robot","collaboration","block1",122
NA,NA,NA,NA,NA,"subject","collaboration","block1",123
"king","valence","king","electric chair","MATCH","robot","collaboration","block1",124
"programmer","participants_turn",NA,NA,NA,"subject","collaboration","block1",125
"city","valence","buildings","town","MATCH","robot","collaboration","block1",126
"fireplace","participants_turn",NA,NA,NA,"subject","collaboration","block1",127
"priest","entrainment","pastor","priest","CHANGE","robot","collaboration","block1",128
"cave","participants_turn",NA,NA,NA,"subject","collaboration","block1",129
"church","valence","church","cathedral","MATCH","robot","collaboration","block1",130
"pigeon","participants_turn",NA,NA,NA,"subject","collaboration","block1",131
"dirt","valence","sand","gravel","CHANGE","robot","collaboration","block1",132
"barrels","participants_turn",NA,NA,NA,"subject","collaboration","block1",133
"people","valence","crowd","people","CHANGE","robot","collaboration","block1",134
"cop","participants_turn",NA,NA,NA,"subject","collaboration","block1",135
"thief","entrainment","thief","robber","CHANGE","robot","collaboration","block1",136
"floppy","participants_turn",NA,NA,NA,"subject","collaboration","block1",137
"factory","valence","pollution","factory","CHANGE","robot","collaboration","block1",138
"wine","participants_turn",NA,NA,NA,"subject","collaboration","block1",139
"moth","valence","butterfly","insect","MATCH","robot","collaboration","block1",140
"clothes","participants_turn",NA,NA,NA,"subject","collaboration","block1",141
"robot","entrainment","robot","android","CHANGE","robot","collaboration","block1",142
"beach","participants_turn",NA,NA,NA,"subject","collaboration","block1",143
"snake","entrainment","snake","serpent","MATCH","robot","collaboration","block1",144
"flag","participants_turn",NA,NA,NA,"subject","collaboration","block1",145
"ship","entrainment","ship","boat","MATCH","robot","collaboration","block1",146
"cart","participants_turn",NA,NA,NA,"subject","collaboration","block1",147
"mouse","valence","mouse","rat","MATCH","robot","collaboration","block1",148
"berries","participants_turn",NA,NA,NA,"subject","collaboration","block1",149
"couch","entrainment","sofa","couch","MATCH","robot","collaboration","block1",150
"drink","participants_turn",NA,NA,NA,"subject","collaboration","block1",151
"teacher","entrainment","lecturer","teacher","MATCH","robot","collaboration","block1",152
"peach","participants_turn",NA,NA,NA,"subject","collaboration","block1",153
"house","valence","home","house","MATCH","robot","collaboration","block1",154
"frog","participants_turn",NA,NA,NA,"subject","collaboration","block1",155
"recycling","valence","recycling bin","rubbish bin","MATCH","robot","collaboration","block1",156
"tree","participants_turn",NA,NA,NA,"subject","collaboration","block1",157
"microbes","valence","microorganisms","germs","CHANGE","robot","collaboration","block1",158
"violin","participants_turn",NA,NA,NA,"subject","collaboration","block1",159
"cattle","entrainment","cows","cattle","CHANGE","robot","collaboration","block1",160
"router","participants_turn",NA,NA,NA,"subject","collaboration","block1",161
"money","entrainment","money","coins","CHANGE","robot","collaboration","block1",162
"cross","participants_turn",NA,NA,NA,"subject","collaboration","block1",163
"soldier","valence","soldier","gunman","MATCH","robot","collaboration","block1",164
"car","participants_turn",NA,NA,NA,"subject","collaboration","block1",165
"socket","valence","socket","face","CHANGE","robot","collaboration","block1",166
"hen","participants_turn",NA,NA,NA,"subject","collaboration","block1",167
"woman","entrainment","lady","woman","CHANGE","robot","collaboration","block1",168
