"item","stimulusType","option1","option2","change","navigator","phase","presentation","index"
"cup","entrainment","cup","mug","CHANGE","solo","naming_test","pre",84
"beach","participants_turn",NA,NA,NA,"solo","naming_test","pre",85
"laptop","entrainment","computer","laptop","CHANGE","solo","naming_test","pre",86
"priest","entrainment","priest","pastor","MATCH","solo","naming_test","pre",87
"pipe","participants_turn",NA,NA,NA,"solo","naming_test","pre",88
"city","valence","buildings","town","MATCH","solo","naming_test","pre",89
"cattle","entrainment","cattle","cows","MATCH","solo","naming_test","pre",90
"sphere","entrainment","sphere","ball","CHANGE","solo","naming_test","pre",91
"mouse","valence","mouse","rat","CHANGE","solo","naming_test","pre",92
"beans","participants_turn",NA,NA,NA,"solo","naming_test","pre",93
"touchpad","entrainment","tablet","touchscreen","MATCH","solo","naming_test","pre",94
"king","valence","king","electric chair","MATCH","solo","naming_test","pre",95
"fireplace","participants_turn",NA,NA,NA,"solo","naming_test","pre",96
"thief","entrainment","robber","thief","CHANGE","solo","naming_test","pre",97
"ship","entrainment","ship","boat","MATCH","solo","naming_test","pre",98
"drugs","valence","medicine","drugs","MATCH","solo","naming_test","pre",99
"dunes","participants_turn",NA,NA,NA,"solo","naming_test","pre",100
"videogame","participants_turn",NA,NA,NA,"solo","naming_test","pre",101
"man","practice","man",NA,NA,"robot","collaboration","tutorial",102
"axe","practice",NA,NA,NA,"subject","collaboration","tutorial",103
"graves","practice","graveyard",NA,NA,"robot","collaboration","tutorial",104
"drink","practice",NA,NA,NA,"subject","collaboration","tutorial",105
"rocks","practice","rocks",NA,NA,"robot","collaboration","tutorial",106
"hen","practice",NA,NA,NA,"subject","collaboration","tutorial",107
"violin","practice","violin",NA,NA,"robot","collaboration","tutorial",108
"fireplace","practice",NA,NA,NA,"subject","collaboration","tutorial",109
"parking sp","practice","parking sign",NA,NA,"robot","collaboration","tutorial",110
"Q60","practice",NA,NA,NA,"subject","collaboration","tutorial",111
"floppy","practice","floppy disk",NA,NA,"robot","collaboration","tutorial",112
"flower","practice",NA,NA,NA,"subject","collaboration","tutorial",113
"pipe","practice","pipe",NA,NA,"robot","collaboration","tutorial",114
"clothes","practice",NA,NA,NA,"subject","collaboration","tutorial",115
"athlete","practice","athlete",NA,NA,"robot","collaboration","tutorial",116
"branch","practice",NA,NA,NA,"subject","collaboration","tutorial",117
"cross","practice","cross",NA,NA,"robot","collaboration","tutorial",118
"beans","practice",NA,NA,NA,"subject","collaboration","tutorial",119
"berries","practice","berries",NA,NA,"robot","collaboration","tutorial",120
"programmer","practice",NA,NA,NA,"subject","collaboration","tutorial",121
NA,NA,NA,NA,NA,"robot","collaboration","block1",122
NA,NA,NA,NA,NA,"subject","collaboration","block1",123
"robot","entrainment","robot","android","MATCH","robot","collaboration","block1",124
"programmer","participants_turn",NA,NA,NA,"subject","collaboration","block1",125
"mouse","valence","mouse","rat","CHANGE","robot","collaboration","block1",126
"fireplace","participants_turn",NA,NA,NA,"subject","collaboration","block1",127
"cattle","entrainment","cattle","cows","MATCH","robot","collaboration","block1",128
"cave","participants_turn",NA,NA,NA,"subject","collaboration","block1",129
"king","valence","king","electric chair","MATCH","robot","collaboration","block1",130
"pigeon","participants_turn",NA,NA,NA,"subject","collaboration","block1",131
"boot","valence","shoe","work boot","CHANGE","robot","collaboration","block1",132
"barrels","participants_turn",NA,NA,NA,"subject","collaboration","block1",133
"teacher","entrainment","teacher","lecturer","MATCH","robot","collaboration","block1",134
"cop","participants_turn",NA,NA,NA,"subject","collaboration","block1",135
"road","valence","highway","avenue","CHANGE","robot","collaboration","block1",136
"floppy","participants_turn",NA,NA,NA,"subject","collaboration","block1",137
"touchpad","entrainment","tablet","touchscreen","MATCH","robot","collaboration","block1",138
"wine","participants_turn",NA,NA,NA,"subject","collaboration","block1",139
"factory","valence","pollution","factory","CHANGE","robot","collaboration","block1",140
"clothes","participants_turn",NA,NA,NA,"subject","collaboration","block1",141
"thief","entrainment","robber","thief","CHANGE","robot","collaboration","block1",142
"beach","participants_turn",NA,NA,NA,"subject","collaboration","block1",143
"drugs","valence","medicine","drugs","MATCH","robot","collaboration","block1",144
"flag","participants_turn",NA,NA,NA,"subject","collaboration","block1",145
"soldier","valence","soldier","gunman","CHANGE","robot","collaboration","block1",146
"cart","participants_turn",NA,NA,NA,"subject","collaboration","block1",147
"recycling","valence","recycling bin","rubbish bin","MATCH","robot","collaboration","block1",148
"berries","participants_turn",NA,NA,NA,"subject","collaboration","block1",149
"alligator","entrainment","alligator","crocodile","CHANGE","robot","collaboration","block1",150
"drink","participants_turn",NA,NA,NA,"subject","collaboration","block1",151
"knife","entrainment","dagger","knife","CHANGE","robot","collaboration","block1",152
"peach","participants_turn",NA,NA,NA,"subject","collaboration","block1",153
"money","entrainment","coins","money","MATCH","robot","collaboration","block1",154
"frog","participants_turn",NA,NA,NA,"subject","collaboration","block1",155
"couch","entrainment","sofa","couch","MATCH","robot","collaboration","block1",156
"tree","participants_turn",NA,NA,NA,"subject","collaboration","block1",157
"ship","entrainment","ship","boat","MATCH","robot","collaboration","block1",158
"violin","participants_turn",NA,NA,NA,"subject","collaboration","block1",159
"laptop","entrainment","computer","laptop","CHANGE","robot","collaboration","block1",160
