CROOK,520,526
CROQUET,559,539
CROSS,514,501
CROW,590,578
CROWD,546,548
CROWN,586,602
CRUCIFIX,564,576
CRUISER,571,553
CRYPT,573,553
CRYSTAL,587,579
CUBE,530,575
CUCUMBER,653,623
CURB,577,556
CURLER,600,521
CUSTARD,549,515
CYST,570,510
DAFFODIL,595,611
DAGGER,576,581
DAIRY,565,537
DAISY,613,573
DAME,528,530
DAMSEL,544,551
DANCE,502,510
DANCER,558,551
DANDELION,558,579
DANDRUFF,546,554
DART,608,597
DATE,514,501
DAWN,501,586
DECK,566,539
DECORATION,507,526
DEER,631,624
DENTIST,607,622
DESK,583,574
DESTROYER,513,508
DETECTIVE,505,524
DIAL,537,541
DIAMOND,610,623
DIME,582,590
DIMPLE,547,518
DINNER,542,570
DIRT,564,547
DISC,553,575
DISINFECTANT,578,529
DITCH,555,558
DOCK,570,559
DOCTOR,575,600
DOLL,588,565
DOLLAR,575,611
DOME,517,557
DOOR,606,599
DOORWAY,578,548
DORMITORY,576,575
DOUGH,627,558
DOVE,588,616
DRAIN,591,540
DRESS,595,595
DRESSER,560,556
DRILL,516,571
DRINK,549,553
DRIVER,553,567
DRIZZLE,558,582
DRUG,555,564
DRUM,602,599
DUCHESS,568,525
DUCK,606,632
DUMMY,551,562
DUNGEON,562,579
DUST,550,549
EAGLE,616,601
EARTH,580,580
EARTHWORM,606,569
EASEL,580,532
ELBOW,607,602
ELEPHANT,628,616
EMERALD,613,602
EMPEROR,527,502
ENGINE,586,595
ENVELOPE,579,554
ESSAY,527,564
EVERGREEN,555,554
FABRIC,565,544
FACE,599,581
FACTORY,586,608
FAMILY,525,577
FANG,574,559
FARM,565,560
FARMYARD,608,594
FATHER,594,646
FAWN,581,565
FEAST,542,610
FEET,642,597
FENCE,597,611
FERRY,580,592
FIDDLE,582,555
FILM,604,562
FIRE,595,634
FIREPLACE,592,639
FIREWOOD,629,586
FISH,597,615
FISHERMAN,567,610
FLAG,606,607
FLAME,582,598
FLANNEL,574,520
FLASK,595,614
FLEA,625,606
FLEECE,555,547
FLEET,520,510
FLESH,597,567
FLOOD,553,598
FLOOR,559,544
FLOWER,584,618
FLUTE,587,581
FOAM,577,600
FOOD,597,539
FOOT,558,597
FOOTBALL,584,597
FOOTWEAR,567,583
FORCEPS,585,553
FOREARM,608,529
FOREHEAD,590,596
FOREST,609,633
FORK,592,598
FORT,580,559
FOUNTAIN,593,602
FOWL,532,528
FRAME,562,508
FROG,619,617
FROST,608,595
FRUIT,612,587
FUDGE,608,567
FURNACE,600,586
FURNITURE,583,588
GALLERY,569,566
GARLIC,636,565
GARMENT,552,507
GATE,573,545
GAVEL,558,539
GEESE,597,603
GENTLEMAN,516,559
GIANT,515,562
GIFT,533,553
GINGERBREAD,623,572
GINGHAM,540,523
GIRDLE,570,559
GIRL,607,634
GLACIER,590,580
GLASS,635,585
GLOBE,535,583
GLOVE,607,596
GNAT,529,550
GOAT,636,585
GOBLET,592,577
GOLD,576,594
GOLF,540,616
GONDOLA,606,572
GORILLA,620,634
GOWN,586,578
GRANDFATHER,565,564
GRANDMOTHER,579,609
GRAPE,611,591
GRAPH,553,535
GRASS,599,602
GRASSHOPPER,660,630
GRAVE,535,619
GRAVEL,587,569
GRAVY,606,594
GROCER,576,551
GROIN,506,516
GROUND,558,513
GUARD,517,530
HADDOCK,636,532
HAILSTONE,576,562
HAIR,583,580
HAIRPIN,584,569
HALL,565,559
HAMLET,541,565
HAMMER,605,618
HAMSTER,599,581
HAND,604,598
HANDKERCHIEF,618,583
HARBOUR,603,597
HARDWARE,560,576
HARDWOOD,567,557
HARE,615,577
HAREM,518,523
HARNESS,563,513
HARP,591,621
HARPOON,592,531
HARPSICHORD,623,537
HARVEST,535,562
HATCHET,607,527
HAWK,623,591
HAZE,509,521
HEAD,603,593
HEART,605,617
HEDGE,615,583
HEEL,579,597
HELMET,602,620
HERB,558,502
HERDSMAN,543,500
HERMIT,508,537
HEROIN,638,551
HERRING,617,524
HEXAGON,559,527
HIGHWAY,575,581
HILL,588,607
HIVE,583,554
HOCKEY,535,593
HOME,539,599
HONEY,611,608
HONEYCOMB,562,593
HONEYMOON,515,563
HOOD,547,558
HOOF,596,598
HOOK,525,541
HORN,618,566
HORSE,613,624
HOSE,596,572
HOSPITAL,584,602
HOSTAGE,526,536
HOTEL,591,597
HOUND,583,596
HOUSE,608,606
HUMP,507,515
HUNTER,535,564
HURDLE,572,600
HURRICANE,576,608
HUSBAND,549,537
ICICLE,569,526
INDIAN,622,580
INFANT,579,600
INFIRMARY,557,546
INSECT,593,586
INSTRUCTOR,558,551
INSTRUMENT,543,521
INVOICE,538,510
IODINE,576,508
IRIS,589,606
IRON,584,561
ISLAND,596,643
ISLE,530,520
IVORY,571,529
JACKET,635,611
JAIL,590,608
JANITOR,532,508
JEEP,622,659
JELLY,560,590
JERSEY,621,572
JEWEL,594,621
JOCKEY,557,606
JOURNAL,563,509
JUDGE,506,558
JUGGLER,547,553
JUICE,599,593
JURY,540,580
KENNEL,611,580
KERCHIEF,583,515
KERNEL,559,542
KEROSENE,597,548
KETTLE,602,594
KILT,609,622
KING,559,585
KISS,564,633
KITE,592,624
KITTEN,612,639
KNEE,593,597
KNIFE,612,633
KNIGHT,579,608
KNOB,586,554
KNUCKLE,586,520
LACE,545,506
LADY,564,571
LAKE,585,616
LAMB,633,614
LAMP,615,575
LAND,604,566
LANDSCAPE,542,608
LANE,537,543
LANTERN,630,575
LARCH,623,508
LARK,578,573
LAUNDRY,576,559
LAWN,588,608
LAWYER,569,557
LEAF,593,608
LEAFLET,570,534
LEATHER,575,586
LECTURER,561,551
LEEK,621,540
LEMON,608,632
LEMONADE,615,606
LENS,573,556
LEOPARD,595,635
LETTER,577,595
LETTUCE,579,608
LEVER,572,515
LIBRARY,564,587
LICE,543,532
LIEUTENANT,560,512
LIGHT,550,542
LIGHTNING,525,599
LILY,609,541
LIMB,590,580
LIME,590,563
LIMOUSINE,624,595
LINEN,581,551
LINT,537,513
LION,627,626
LIQUID,555,589
LIQUOR,630,576
LIVER,617,571
LIZARD,588,632
LOBSTER,590,630
LOCK,565,532
LOCKER,586,569
LOOT,542,579
LUBRICANT,520,515
LUMBER,560,530
LUMP,542,546
LUNCH,552,602
LUNG,569,576
MACARONI,631,608
MACHINE,578,575
MACHINERY,545,526
MACKEREL,636,540
MAGAZINE,588,588
MAGICIAN,560,569
MAGNET,550,543
MAHOGANY,513,500
MAIDEN,545,554
MAIL,508,548
MALE,564,587
MALLET,623,557
MANE,554,528
MANOR,523,508
MANSION,579,628
MANTLE,579,596
MANURE,644,534
MAPLE,534,511
MARBLE,611,605
MARE,549,529
MARKET,551,583
MAST,576,558
MATE,507,506
MATTRESS,640,601
MAZE,528,555
MEADOW,594,622
MEAL,602,573
MEASLES,568,582
MEAT,587,618
MECHANIC,580,530
MEDAL,571,529
MEDALLION,577,565
MEDICINE,517,551
MENU,555,613
MERCURY,537,521
MESSENGER,527,505
METAL,582,541
METROPOLIS,504,572
MICROSCOPE,591,617
MILK,670,638
MINER,551,569
MINISTER,563,584
MINK,589,604
MINNOW,621,554
MINSTREL,530,522
MIRROR,605,627
MISSILE,597,602
MISTRESS,530,535
MIXER,574,536
MOCCASIN,611,573
MOHAIR,583,508
MOISTURE,545,513
MOLE,590,567
MONARCH,525,572
MONASTERY,564,550
MONEY,574,604
MONKEY,566,588
MONOCLE,603,529
MONUMENT,558,543
MOON,581,585
MOOSE,616,604
MORGUE,572,589
MORNING,515,579
MORPHINE,580,550
MOSQUITO,595,612
MOSS,575,569
MOTH,550,577
MOTHER,579,638
MOTOR,565,521
MOUNTAIN,616,629
MOUSE,624,615
MOUTH,568,613
MOUTHPIECE,608,549
MOVIE,590,571
MUCUS,565,570
MULE,592,608
MUSCLE,573,553
MUSIC,512,549
MUSICIAN,564,585
MUSSEL,618,556
MUSTARD,595,599
MUZZLE,585,513
NAIL,598,588
NAPKIN,585,582
NAVEL,583,546
NECK,587,622
